crco_name,airspaceID,rate,longitude,latitude
Santa Maria,AZ,10,-21.5,35.53333333333333
Belgium and Luxembourg,EB,120.52,4.066666666666666,50.56666666666667
Germany,ED,62.57,10.183333333333334,50.86666666666667
Estonia,EE,32.99,24.333333333333332,58.88333333333333
Finland,EF,44.15,24.833333333333332,63
United Kingdom,EG,68.94,-3.3,54.31666666666667
Netherlands,EH,82.34,3.65,53
Ireland,EI,29.37,-11.633333333333333,52.53333333333333
Denmark,EK,63.91,8.916666666666666,56.46666666666667
Norway,EN,53.95,6.066666666666666,61.56666666666667
Poland,EP,45.11,19.466666666666665,51.03333333333333
Sweden,ES,66.61,13.433333333333334,58.96666666666667
Latvia,EV,31.92,25.5,57
Lithuania,EY,44.18,22.916666666666668,55.28333333333333
Spain Canaries,GC,20,-20,25
Albania,LA,58.07,19.266666666666666,40.7
Bulgaria,LB,35.87,25.8,42.766666666666666
Cyprus,LC,28.94,32.28333333333333,33.733333333333334
Croatia,LD,50.62,13.666666666666666,44.483333333333334
Spain Continent.,LE,49.43,-3.1,39.9
France,LF,73.24,0.4,46.5
Greece,LG,28.95,21.8,37.8
Hungary,LH,39.78,19.633333333333333,47.18333333333333
Italy,LI,75.64,11.633333333333333,39.7
Slovenia,LJ,61.33,14.85,46.233333333333334
Czech Republic,LK,64.05,13.7,49.583333333333336
Malta,LM,33.14,16.766666666666666,35.3
Austria,LO,67.55,13.633333333333333,47.45
Portugal,LP,42.54,-11.25,39.11666666666667
Bosnia and Herzegovina,LQ,40.20,17.116666666666667,43.983333333333334
Romania,LR,48.58,24.6,45.93333333333333
Switzerland,LS,95.86,7.283333333333333,46.65
Türkiye,LT,17.53,34.36666666666667,39.21666666666667
Moldova,LU,78.50,28.933333333333334,46.93333333333333
North Macedonia,LW,53.87,21.7,41.65
Serbia and Montenegro,LY,42.49,20.533333333333335,43.53333333333333
Slovakia,LZ,68.75,18.15,48.86666666666667
Ukraine South,U1,22.96,31.633333333333333,43.85
Armenia,UD,65.20,44.583333333333336,40.6
Georgia,UG,59.04,41.86666666666667,42.583333333333336
Ukraine,UK,58.23,32.38333333333333,47.55
